open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-09-02 02:58:13.243063,50049.51,50203.55,49967.0,50000.0,733.38,2025-09-02 03:58:13.243063,36668767.93,827,366.69,18334383.97,0
2025-09-02 03:58:13.243063,50316.49,50339.32,49830.67,49866.74,1318.08,2025-09-02 04:58:13.243063,65728525.05,369,659.04,32864262.52,0
2025-09-02 04:58:13.243063,50496.57,50556.51,50264.78,50517.68,1764.35,2025-09-02 05:58:13.243063,89130914.34,145,882.18,44565457.17,0
2025-09-02 05:58:13.243063,51924.94,52099.49,51851.79,52061.54,1107.91,2025-09-02 06:58:13.243063,57679314.62,352,553.95,28839657.31,0
2025-09-02 06:58:13.243063,51705.14,52239.32,51341.38,51822.93,1944.37,2025-09-02 07:58:13.243063,100763131.69,389,972.19,50381565.85,0
2025-09-02 07:58:13.243063,51700.93,51831.21,51468.84,51585.44,2058.68,2025-09-02 08:58:13.243063,106198001.49,643,1029.34,53099000.74,0
2025-09-02 08:58:13.243063,52940.91,53410.32,52875.12,53219.89,2413.76,2025-09-02 09:58:13.243063,128459902.94,552,1206.88,64229951.47,0
2025-09-02 09:58:13.243063,54074.99,54284.9,53725.45,54042.07,701.54,2025-09-02 10:58:13.243063,37912661.9,714,350.77,18956330.95,0
2025-09-02 10:58:13.243063,53578.75,53669.57,53157.79,53540.04,1864.41,2025-09-02 11:58:13.243063,99820627.36,597,932.21,49910313.68,0
2025-09-02 11:58:13.243063,54327.3,54407.92,54049.04,54126.37,1006.45,2025-09-02 12:58:13.243063,54475700.74,547,503.23,27237850.37,0
2025-09-02 12:58:13.243063,53699.51,53782.58,53558.35,53630.12,634.81,2025-09-02 13:58:13.243063,34045036.94,773,317.41,17022518.47,0
2025-09-02 13:58:13.243063,53222.16,53304.69,53135.87,53135.94,622.83,2025-09-02 14:58:13.243063,33094481.21,348,311.41,16547240.61,0
2025-09-02 14:58:13.243063,53709.88,53775.91,53364.92,53398.39,530.71,2025-09-02 15:58:13.243063,28339014.63,322,265.35,14169507.31,0
2025-09-02 15:58:13.243063,51253.3,51740.94,51197.97,51360.41,1437.41,2025-09-02 16:58:13.243063,73825819.28,343,718.7,36912909.64,0
2025-09-02 16:58:13.243063,49890.62,50011.63,49438.3,49593.7,2469.98,2025-09-02 17:58:13.243063,122495641.97,490,1234.99,61247820.99,0
2025-09-02 17:58:13.243063,49464.51,49487.18,48855.9,49040.94,704.59,2025-09-02 18:58:13.243063,34553805.11,718,352.3,17276902.55,0
2025-09-02 18:58:13.243063,48134.16,48289.73,47866.16,48052.44,1869.38,2025-09-02 19:58:13.243063,89828243.23,103,934.69,44914121.62,0
2025-09-02 19:58:13.243063,48298.02,48439.99,48014.43,48359.25,2073.52,2025-09-02 20:58:13.243063,100273798.26,784,1036.76,50136899.13,0
2025-09-02 20:58:13.243063,47386.25,47937.34,47152.25,47485.86,776.89,2025-09-02 21:58:13.243063,36891475.38,803,388.45,18445737.69,0
2025-09-02 21:58:13.243063,46242.12,46446.59,46127.08,46149.32,2479.88,2025-09-02 22:58:13.243063,114444888.22,550,1239.94,57222444.11,0
